date,median,lower,upper,observed
2020-07-01,0.39986695299439057,-84.15604084226055,85.7903877158258,0
2020-07-02,1.4262397609155886,-83.20559563131305,83.77957298887058,0
2020-07-03,1.80653069630839,-79.5351506982066,84.14481203104147,0
2020-07-04,3.215166779790171,-80.0462185349831,85.68121234778073,0
2020-07-05,4.176812424055434,-76.20925417426889,90.05035127744796,0
2020-07-06,8.211463671692204,-76.17465411235176,90.37654363815665,0
2020-07-07,12.239884561132982,-73.81738155606877,94.53370806856822,0
2020-07-08,15.077267189823557,-68.00638134574724,98.62068782721992,1
2020-07-09,18.82485115735048,-67.36228191829888,104.39989152520609,3
2020-07-10,25.184340431704452,-58.70190850790034,104.852869538865,1
2020-07-11,30.67369308195461,-54.84442969511165,115.93162007647321,21
2020-07-12,35.51174415124295,-47.47478031203889,123.01208688444974,21
2020-07-13,44.99029361235887,-36.191069677656756,129.45872943497488,34
2020-07-14,54.09304550915182,-28.65567092717506,139.9543097712404,47
2020-07-15,67.17056991407681,-17.576427352642412,151.70409525003,47
2020-07-16,81.18380446046426,2.5132031902463083,164.04156869020986,57
2020-07-17,96.53494024846945,14.410926076958487,183.0025972928137,78
2020-07-18,115.1291535880949,32.56221928488791,194.9610265775097,109
2020-07-19,134.11703044271007,49.134202782613855,218.20089413608326,109
2020-07-20,151.41688924301877,68.40335842113667,234.487188692951,144
2020-07-21,173.00409720381106,88.56621059316397,255.26668136469203,161
2020-07-22,194.6514154016387,112.41295293786303,278.6817364881219,171
2020-07-23,215.17491869754753,130.92105046543986,299.04239069269966,193
2020-07-24,236.47622883651178,153.13949366215945,323.66856467895644,201
2020-07-25,253.94914062099122,170.2681953745459,337.2779222182227,264
2020-07-26,271.867991263793,185.68868509818026,357.40571854932836,264
2020-07-27,290.5668805596407,210.34464903845196,373.42767734581633,294
2020-07-28,310.722487691079,225.94558722463063,392.41368804069435,288
2020-07-29,327.9714040261177,243.67057411652132,410.32110386120615,312
2020-07-30,346.6802461240609,264.95777001079864,432.205074382116,350
2020-07-31,365.66598376299936,283.06996726337184,447.0668862466726,350
2020-08-01,385.56150611273875,304.2369440267509,467.928361454055,350
2020-08-02,406.04604194754586,322.8346417466816,492.79003197952613,474
2020-08-03,426.86643564275136,342.25461878771307,511.647373235856,484
2020-08-04,443.84141487028285,361.4021928200684,529.646116369853,491
2020-08-05,458.6262568821286,376.0575998680988,541.2855368755329,497
2020-08-06,474.14894787628157,392.26332847640134,556.3244045287436,513
2020-08-07,488.0597090573625,401.54693174555587,568.6451494700267,513
2020-08-08,499.62088560403834,417.62127365855673,585.8691821410647,513
2020-08-09,509.281509040781,430.1405650114239,597.4583592649835,555
2020-08-10,519.4792573280832,434.23535952531836,603.1751160807477,560
2020-08-11,525.1709972240728,441.4914328066026,611.0012070469558,556
2020-08-12,530.6244936875489,447.2196745004221,613.7707277714943,549
2020-08-13,533.4151709696887,447.2306725693407,618.6440551370683,559
2020-08-14,537.0739893106081,452.45732733078125,623.9555794898328,514
2020-08-15,537.1735338991044,454.9756330694451,622.3296645624939,527
